,GPStime,snr,centralFreq,confidence,label
159,1256906082.051,1224.107,3983.241,1.0,Extremely_Loud
160,1256906090.313,8.048,3998.429,0.947,Air_Compressor
161,1256906183.188,13.356,3746.261,0.998,Low_Frequency_Burst
162,1256906554.273,7.518,413.779,0.979,Violin_Mode
163,1256906578.594,11.88,3987.436,1.0,Scattered_Light
164,1256906837.592,7.832,71.925,1.0,Blip
165,1256908053.719,12.615,287.167,0.987,Scattered_Light
166,1256908613.969,8.84,76.287,1.0,Power_Line
167,1256908813.359,2322.242,2378.556,0.995,Extremely_Loud
168,1256953962.739,643.382,3983.241,0.955,Extremely_Loud
169,1256955590.813,16.283,32.829,1.0,Scattered_Light
170,1256956373.938,11.483,3983.241,1.0,Low_Frequency_Lines
171,1256957106.719,7.619,3464.271,0.998,Low_Frequency_Lines
172,1256957182.688,8.55,3680.246,0.999,Low_Frequency_Lines
173,1256958059.188,9.222,3881.874,0.995,Low_Frequency_Lines
174,1256959039.25,447.773,3983.241,0.981,Extremely_Loud
175,1256960359.557,675.068,3983.241,0.917,Extremely_Loud
176,1256961716.969,9.031,24.584,1.0,Scattered_Light
177,1256961935.219,16.367,3874.008,1.0,Scattered_Light
178,1256962060.429,1678.743,3983.241,1.0,Extremely_Loud
179,1256962070.104,11.137,256.21,0.998,Blip
180,1256962930.961,12.089,365.403,0.992,Violin_Mode
181,1256963301.906,12.496,1962.668,1.0,Scattered_Light
182,1256963775.688,7.726,47.632,0.952,Air_Compressor
183,1256963879.089,389.972,3983.241,0.956,Extremely_Loud
184,1256964360.219,27.552,3983.241,0.994,Scattered_Light
185,1256964509.29,9.261,146.888,0.996,Blip
186,1256964804.406,13.009,28.467,0.999,Scattered_Light
187,1256965195.215,12.136,75.727,0.985,Tomte
188,1256965936.569,952.687,3983.241,0.922,Extremely_Loud
189,1256966019.016,14.084,32.829,0.999,Scattered_Light
190,1256966156.906,8.706,1172.549,0.999,Low_Frequency_Burst
191,1256966420.781,8.065,22.449,0.943,Scattered_Light
192,1256966872.406,20.115,3908.818,1.0,Scattered_Light
193,1256966882.373,552.994,3983.241,0.993,Extremely_Loud
194,1256966959.656,7.81,42.703,0.998,Air_Compressor
195,1256967090.094,20.046,3883.751,1.0,Scattered_Light
196,1256967523.703,14.809,1361.969,0.97,Low_Frequency_Burst
197,1256967602.734,9.897,28.467,0.993,Scattered_Light
198,1256967824.781,10.56,3861.61,0.981,Power_Line
199,1256968355.563,7.774,47.107,0.935,Air_Compressor
200,1256968523.781,15.373,32.829,1.0,Scattered_Light
201,1256969094.76,7.707,2200.11,1.0,Blip
202,1256969770.256,776.961,3983.241,1.0,Extremely_Loud
203,1256969856.969,11.565,3908.818,0.998,Scattered_Light
204,1256970024.542,148.297,3987.436,0.941,Blip
205,1256970560.133,11.65,476.919,0.989,Violin_Mode
206,1256994605.188,7.997,3984.246,0.988,Low_Frequency_Lines
207,1256994830.547,8.36,284.439,0.98,Whistle
208,1256995293.938,11.207,3813.464,0.996,Low_Frequency_Lines
209,1256995479.469,8.859,1155.883,0.985,Scattered_Light
210,1256995747.055,10.245,316.206,0.991,Whistle
211,1256995751.381,9.936,3956.158,1.0,Blip
212,1256995995.422,8.077,3945.854,0.984,Low_Frequency_Burst
213,1256996971.156,7.934,3764.125,0.974,Scattered_Light
214,1256997566.766,16.147,3983.241,0.961,Scattered_Light
215,1256997786.258,8.762,394.121,0.991,Whistle
216,1256997992.281,10.804,2081.292,1.0,Scattered_Light
217,1256998147.438,8.287,3746.261,0.983,Low_Frequency_Lines
218,1256998856.599,20.713,245.453,1.0,Blip
219,1257000324.453,10.705,1717.344,0.996,Low_Frequency_Burst
220,1257000924.484,8.634,26.59,0.99,Low_Frequency_Burst
221,1257001301.094,13.324,1776.701,1.0,Scattered_Light
222,1257001429.719,27.078,3983.241,1.0,Scattered_Light
223,1257001690.156,9.998,3985.119,1.0,Scattered_Light
224,1257002782.914,7.897,3986.428,0.976,Whistle
225,1257003126.594,13.232,30.952,1.0,Scattered_Light
226,1257003214.109,12.538,971.864,0.975,Scattered_Light
227,1257003424.313,8.182,24.263,0.984,Scattered_Light
228,1257003844.078,12.437,1646.525,1.0,Scattered_Light
229,1257007810.469,16.24,3881.874,1.0,Scattered_Light
