,GPStime,snr,centralFreq,confidence,label
157,1238414961.094,10.023,43.834,0.998,Scattered_Light
158,1238415129.734,13.062,405.904,0.994,Scattered_Light
159,1238415135.969,18.069,308.872,1.0,Scattered_Light
160,1238415172.281,11.721,1333.244,0.998,Scattered_Light
161,1238415252.375,11.238,769.159,1.0,Scattered_Light
162,1238415343.406,9.945,2964.093,1.0,Scattered_Light
163,1238415350.656,14.29,34.359,1.0,Scattered_Light
164,1238415412.969,13.017,3030.386,1.0,Scattered_Light
165,1238415485.594,10.821,3815.341,0.952,Scattered_Light
166,1238415503.281,8.595,28.467,1.0,Scattered_Light
167,1238415586.125,7.99,3080.93,0.942,Low_Frequency_Lines
168,1238424634.438,9.708,1714.874,0.951,Low_Frequency_Lines
169,1238425224.383,7.515,1167.743,0.942,Whistle
170,1238425357.844,9.975,3241.114,1.0,Scattered_Light
171,1238425473.594,18.177,3983.241,1.0,Scattered_Light
172,1238428212.188,20.567,2731.998,1.0,Scattered_Light
173,1238428240.953,8.576,2783.969,0.906,Low_Frequency_Burst
174,1238428388.578,16.404,62.339,1.0,Scattered_Light
175,1238428390.094,11.678,37.342,0.978,Scattered_Light
176,1238428422.719,7.581,19.406,0.998,Low_Frequency_Burst
177,1238428701.375,14.091,221.823,0.967,Low_Frequency_Lines
178,1238428805.719,10.798,1928.011,0.999,Scattered_Light
179,1238428874.156,9.703,28.256,1.0,Scattered_Light
180,1238428905.93,9.12,3883.099,0.967,Whistle
181,1238428966.938,16.355,3801.664,1.0,Scattered_Light
182,1238429009.031,129.626,3881.874,1.0,Extremely_Loud
183,1238429192.344,12.006,1224.693,0.99,Low_Frequency_Burst
184,1238429662.125,14.874,1707.97,1.0,Scattered_Light
185,1238429693.188,12.997,2964.093,0.986,Scattered_Light
186,1238429779.125,10.018,18.303,0.937,Low_Frequency_Lines
187,1238430085.625,21.387,3409.167,0.984,Low_Frequency_Lines
188,1238430300.156,8.642,24.934,0.969,Scattered_Light
189,1238431131.656,12.99,30.952,1.0,Scattered_Light
190,1238431135.594,12.656,2836.335,1.0,Scattered_Light
191,1238431263.523,9.08,2529.894,0.969,Whistle
192,1238431366.875,14.303,3680.246,0.999,Low_Frequency_Lines
193,1238431638.125,16.275,3427.638,0.999,Scattered_Light
194,1238431819.844,14.616,3088.05,0.981,Low_Frequency_Burst
195,1238431854.625,12.836,20.195,0.999,Low_Frequency_Lines
196,1238432352.984,8.899,178.907,0.991,Low_Frequency_Burst
197,1238432996.969,14.653,3983.241,0.981,Scattered_Light
198,1238433082.625,9.583,3983.762,0.985,Low_Frequency_Lines
199,1238434701.375,16.105,2378.556,0.995,Low_Frequency_Lines
200,1238435221.688,21.334,3983.241,1.0,Scattered_Light
201,1238435229.375,22.305,3983.241,0.972,Low_Frequency_Lines
202,1238435618.156,8.66,28.582,0.926,Low_Frequency_Burst
203,1238435892.125,37.401,3835.788,0.926,Scattered_Light
204,1238435912.813,8.365,20.195,0.984,Low_Frequency_Lines
205,1238436548.375,17.749,1299.963,0.993,Low_Frequency_Lines
206,1238437614.281,7.908,24.934,0.996,Scattered_Light
207,1238438195.516,11.793,318.38,0.908,Scattered_Light
208,1238438214.438,12.54,3006.243,0.914,Low_Frequency_Burst
209,1238438490.398,8.129,23.057,1.0,Low_Frequency_Burst
210,1238438747.656,8.417,2195.579,0.997,Low_Frequency_Lines
211,1238438919.188,11.917,3201.357,1.0,Scattered_Light
212,1238440244.344,8.152,18.134,0.984,Low_Frequency_Burst
213,1238442896.375,11.699,2823.051,0.999,Low_Frequency_Lines
214,1238444512.281,8.316,26.59,0.937,Low_Frequency_Burst
215,1238444711.125,27.178,3881.874,0.911,Scattered_Light
216,1238444807.624,86.611,1936.424,0.995,Koi_Fish
217,1238444856.125,58.831,1161.367,0.919,Low_Frequency_Lines
218,1238444916.193,25.529,287.603,0.953,Tomte
219,1238444917.817,8.773,123.333,0.985,Blip
220,1238444997.906,7.634,20.195,0.997,Low_Frequency_Lines
221,1238445386.188,8.347,20.195,0.984,Low_Frequency_Lines
222,1238445982.688,13.118,23.057,1.0,Low_Frequency_Lines
223,1238447668.875,17.809,1644.648,0.989,Low_Frequency_Lines
224,1238447996.344,7.849,24.263,0.993,Scattered_Light
225,1238448238.344,12.372,1644.648,0.919,Scattered_Light
226,1238449112.406,8.002,38.378,0.902,Scattered_Light
227,1238449140.406,7.837,20.195,0.939,Low_Frequency_Burst
228,1238449270.375,12.55,2378.556,0.985,Low_Frequency_Lines
229,1238450219.344,10.787,20.195,0.977,Low_Frequency_Lines
230,1238451650.586,8.016,407.186,0.99,Whistle
231,1238451808.281,7.836,19.406,0.996,Low_Frequency_Lines
232,1238452547.375,16.034,20.195,0.986,Low_Frequency_Lines
