GPStime,snr,label,Q-value
1256691153.637,15.854,Tomte,5.657
1256691244.129,18.269,Tomte,5.657
1256691361.16,13.813,Tomte,5.657
1256691405.155,397.83,Koi_Fish,5.657
1256691436.152,16.828,Tomte,5.657
1256691776.473,20.384,Tomte,5.657
1256691810.009,511.717,Koi_Fish,5.657
1256691832.955,18.928,Tomte,5.657
1256692022.061,8.702,Blip_Low_Frequency,5.657
1256692047.23,14.666,Tomte,5.657
1256692104.941,35.729,Tomte,5.657
1256692110.762,17.375,Tomte,5.657
1256692178.793,12.924,Tomte,5.657
1256692378.363,21.559,Tomte,5.657
1256692625.395,18.209,Tomte,5.657
1256692658.082,20.24,Tomte,5.657
1256692836.984,9.691,Tomte,11.314
1256693096.324,9.623,Tomte,5.657
1256693164.686,1957.397,Extremely_Loud,5.657
1256693320.717,8.258,Blip,5.657
1256693396.006,8.164,Blip_Low_Frequency,5.657
1256693460.73,18.076,Tomte,5.657
1256693945.553,9.053,Tomte,5.657
1256694132.029,23.264,Tomte,5.657
1256694171.824,24.106,Tomte,5.657
1256694190.873,10.257,Tomte,5.657
1256694192.145,10.969,Tomte,5.657
1256694480.748,11.188,Tomte,5.657
1256694518.229,360.602,Koi_Fish,5.657
1256694688.23,13.772,Tomte,5.657
1256694698.816,14.484,Tomte,5.657
1256694771.41,16.038,Tomte,5.657
1256694941.902,23.739,Tomte,5.657
1256695075.184,17.361,Tomte,5.657
1256695141.979,7.696,Blip,5.657
1256695487.34,21.673,Tomte,5.657
1256695498.348,16.515,Tomte,5.657
1256695581.494,8.015,Blip_Low_Frequency,5.657
1256695655.803,12.733,Tomte,5.657
1256695791.582,11.932,Blip_Low_Frequency,5.657
1256695832.238,28.602,Tomte,5.657
1256695903.207,16.072,Tomte,5.657
1256695905.754,13.563,Tomte,5.657
1256695940.783,174.881,Extremely_Loud,45.255
1256696052.855,10.334,Tomte,5.657
1256696160.34,11.98,Tomte,5.657
1256696198.613,15.442,Tomte,5.657
1256696446.715,10.271,Tomte,5.657
1256696525.335,25.619,Blip,5.657
1256696629.879,13.621,Tomte,5.657
1256696697.684,11.574,Tomte,5.657
1256696885.84,12.23,Tomte,5.657
1256696957.215,16.086,Tomte,5.657
1256696982.9,8.798,Blip_Low_Frequency,5.657
1256697194.853,3371.899,Extremely_Loud,5.657
1256697353.066,47.723,Koi_Fish,5.657
1256697387.035,23.628,Tomte,5.657
1256697444.068,374.234,Koi_Fish,5.657
1256697474.824,16.339,Tomte,5.657
1256697555.801,14.468,Tomte,5.657
1256697821.113,9.322,Tomte,5.657
1256697828.201,11.205,Blip_Low_Frequency,5.657
1256697869.176,56.273,Tomte,5.657
1256698138.959,9.507,Tomte,5.657
1256698238.61,168.049,Koi_Fish,5.657
1256698250.887,31.291,Tomte,5.657
1256698272.991,32.946,Blip_Low_Frequency,5.657
1256698405.996,9.828,Tomte,5.657
