GPStime,snr,label,Q-value
1257023122.148,10.383,Fast_Scattering,11.314
1257023336.746,22.96,Tomte,5.657
1257023962.116,12.832,Blip,5.657
1257029428.691,7.865,Blip_Low_Frequency,5.657
1257032190.618,478.786,Extremely_Loud,5.657
1257032511.23,14.297,Whistle,45.255
1257035071.225,33.448,Whistle,45.255
1257035166.032,8.229,Whistle,45.255
1257035328.635,10.516,Whistle,22.627
1257035522.482,8.8,Whistle,22.627
1257035681.356,9.089,Whistle,45.255
1257036053.183,10.035,Whistle,22.627
1257036227.802,9.572,Whistle,45.255
1257036758.875,7.573,Low_Frequency_Lines,45.255
1257037465.668,1650.634,Extremely_Loud,5.657
1257037631.244,21.124,Whistle,45.255
1257038404.254,7.842,Blip_Low_Frequency,5.657
1257039139.74,22.178,Blip,5.657
1257042083.708,9.865,Blip,5.657
1257042843.335,67.87,Koi_Fish,5.657
1257042914.441,1673.493,Extremely_Loud,11.314
1257045244.316,19.265,Tomte,5.657
1257045832.605,187.804,Koi_Fish,5.657
1257046637.314,7.505,Blip,5.657
1257046697.682,9.096,Blip_Low_Frequency,5.657
1257046936.041,268.602,Koi_Fish,5.657
1257047227.25,10.636,Low_Frequency_Lines,45.255
1257047793.766,941.903,Extremely_Loud,5.657
1257048576.707,7.747,Blip_Low_Frequency,5.657
1257050445.465,9.639,Blip_Low_Frequency,5.657
1257052275.651,3295.161,Extremely_Loud,5.657
1257052972.807,13.457,Tomte,5.657
1257053126.084,116.3,Koi_Fish,5.657
1257055056.832,19.488,Tomte,5.657
1257055438.309,11.53,Tomte,5.657
1257056136.121,7.517,Blip_Low_Frequency,5.657
1257057430.024,8.142,Blip,5.657
1257061494.215,12.333,Tomte,5.657
1257065531.254,223.768,Extremely_Loud,5.657
1257067219.004,9.332,Blip_Low_Frequency,5.657
1257068171.949,10.344,Blip_Low_Frequency,5.657
1257069394.664,172.535,Koi_Fish,5.657
1257070115.402,450.326,Koi_Fish,5.657
1257086901.695,9.262,Fast_Scattering,11.314
1257087066.484,10.596,Fast_Scattering,11.314
1257087156.297,14.694,Fast_Scattering,11.314
1257087265.047,13.633,Fast_Scattering,11.314
1257087267.438,14.246,Fast_Scattering,11.314
1257087560.65,89.302,Koi_Fish,5.657
1257087560.65,89.302,Koi_Fish,5.657
1257088051.25,9.412,Low_Frequency_Lines,45.255
1257088309.89,3787.07,Extremely_Loud,5.657
1257088402.811,124.954,Koi_Fish,5.657
1257088402.811,124.954,Koi_Fish,5.657
1257088967.313,7.722,Low_Frequency_Lines,45.255
1257088967.313,7.722,Low_Frequency_Lines,45.255
1257089060.104,29.31,Blip,5.657
1257089110.2,14.157,Blip,5.657
1257089110.2,14.157,Blip,5.657
1257089282.781,15.076,Low_Frequency_Burst,5.657
1257089415.445,7.738,Fast_Scattering,11.314
1257089434.531,9.031,Low_Frequency_Lines,45.255
1257089434.531,9.031,Low_Frequency_Lines,45.255
1257089718.063,7.642,Scattered_Light,45.255
1257090311.481,26.556,Blip_Low_Frequency,5.657
1257090315.328,10.168,Low_Frequency_Burst,11.314
1257090378.172,10.593,Fast_Scattering,11.314
1257090382.547,11.388,Fast_Scattering,11.314
1257090606.83,9.051,Blip_Low_Frequency,5.657
1257090678.504,10.882,Tomte,5.657
1257091263.11,8.249,Blip,5.657
1257091547.323,957.584,Extremely_Loud,5.657
1257091848.77,8.144,Tomte,5.657
1257092348.023,7.773,Fast_Scattering,11.314
1257092948.261,359.662,Koi_Fish,5.657
1257093165.355,21.927,Tomte,5.657
1257093165.355,21.927,Tomte,5.657
1257093538.586,10.03,Fast_Scattering,11.314
1257093648.625,12.656,Scattered_Light,45.255
1257094098.456,47.697,Koi_Fish,5.657
1257094098.456,47.697,Koi_Fish,5.657
1257094291.898,8.1,Fast_Scattering,11.314
1257094415.051,8.049,Blip_Low_Frequency,5.657
1257094616.25,9.984,Low_Frequency_Lines,45.255
1257094616.25,9.984,Low_Frequency_Lines,45.255
1257095040.842,8.43,Blip_Low_Frequency,5.657
1257095299.709,994.371,Extremely_Loud,11.314
1257095606.156,12.458,Low_Frequency_Burst,11.314
1257095656.755,232.176,Koi_Fish,5.657
1257095966.898,9.209,Fast_Scattering,11.314
1257095992.766,10.142,Fast_Scattering,11.314
1257096148.91,11.021,Tomte,5.657
1257098023.022,764.472,Koi_Fish,5.657
1257100161.227,7.968,Fast_Scattering,5.657
1257100253.469,14.744,Blip,5.657
1257100440.051,9.303,Blip_Low_Frequency,5.657
1257100678.352,9.584,Fast_Scattering,11.314
1257100713.398,9.729,Fast_Scattering,11.314
1257101743.75,7.558,Low_Frequency_Lines,45.255
1257101941.245,201.338,Koi_Fish,5.657
1257101941.245,201.338,Koi_Fish,5.657
1257102233.355,63.746,Blip,5.657
1257102305.188,7.52,Scattered_Light,45.255
1257102665.848,10.322,Blip_Low_Frequency,5.657
1257102956.375,8.3,Fast_Scattering,11.314
1257103532.715,85.579,Koi_Fish,5.657
1257104696.192,1688.947,Extremely_Loud,5.657
1257104737.461,8.747,Fast_Scattering,11.314
1257104832.65,8.665,Blip_Low_Frequency,5.657
1257105214.256,8.791,Blip_Low_Frequency,5.657
1257105327.344,8.373,Low_Frequency_Lines,45.255
1257105474.75,12.378,Low_Frequency_Burst,22.627
1257105474.75,12.378,Low_Frequency_Burst,22.627
1257105629.156,13.795,Low_Frequency_Burst,11.314
1257105629.156,13.795,Low_Frequency_Burst,11.314
1257105629.156,13.795,Low_Frequency_Burst,11.314
1257105691.906,7.97,Low_Frequency_Burst,11.314
1257105691.906,7.97,Low_Frequency_Burst,11.314
1257105854.205,16.895,Tomte,5.657
1257105860.824,12.221,Tomte,5.657
1257106160.516,9.593,Low_Frequency_Burst,11.314
1257106613.581,280.726,Extremely_Loud,11.314
1257107348.516,9.765,Fast_Scattering,11.314
1257107362.125,7.606,Scattered_Light,45.255
1257107371.508,7.709,Fast_Scattering,11.314
1257107383.086,8.855,Fast_Scattering,11.314
1257107874.307,8.179,Blip_Low_Frequency,5.657
1257108210.563,7.918,Fast_Scattering,11.314
1257108392.102,8.158,Fast_Scattering,11.314
1257108431.57,8.506,Fast_Scattering,11.314
1257108756.01,347.158,Koi_Fish,5.657
1257108831.258,11.06,Fast_Scattering,11.314
1257108875.523,7.778,Fast_Scattering,11.314
1257108954.192,191.042,Koi_Fish,5.657
1257109127.671,16.353,Blip,5.657
1257109216.734,9.573,Fast_Scattering,11.314
1257131491.113,8.081,Blip_Low_Frequency,5.657
1257132563.621,9.983,Tomte,5.657
1257133896.574,12.519,Tomte,5.657
1257134588.988,30.392,Tomte,5.657
1257135733.327,118.394,Koi_Fish,5.657
1257137578.801,11.698,Tomte,5.657
1257137730.098,556.761,Extremely_Loud,11.314
1257138454.52,76.072,Koi_Fish,5.657
1257139016.896,8.96,Tomte,5.657
1257140264.75,8.06,Low_Frequency_Lines,45.255
1257143125.607,7.634,Blip_Low_Frequency,5.657
1257143330.354,11.364,Blip_Low_Frequency,5.657
1257145369.75,10.382,Low_Frequency_Lines,45.255
1257145770.182,10.761,Blip_Low_Frequency,5.657
1257145770.182,10.761,Blip_Low_Frequency,5.657
1257146492.863,45.555,Koi_Fish,11.314
1257146498.414,1290.137,Extremely_Loud,11.314
1257146514.574,30.563,Tomte,5.657
1257149580.816,24.277,Tomte,5.657
1257149639.056,157.982,Koi_Fish,5.657
1257150052.75,8.176,Low_Frequency_Lines,45.255
1257150248.934,15.175,Tomte,5.657
1257152568.828,34.824,Blip,5.657
1257153098.331,1195.8,Extremely_Loud,5.657
1257153098.331,1195.8,Extremely_Loud,5.657
1257154047.137,7.648,Blip_Low_Frequency,5.657
1257154341.016,14.777,Low_Frequency_Burst,11.314
1257156114.314,1327.382,Extremely_Loud,5.657
1257156766.285,11.847,Tomte,5.657
1257157542.277,12.405,Tomte,5.657
1257157746.001,8.157,Blip,5.657
1257157790.456,340.424,Koi_Fish,5.657
1257157790.456,340.424,Koi_Fish,5.657
1257158097.723,7.972,Blip_Low_Frequency,5.657
1257158143.815,264.564,Koi_Fish,5.657
1257158143.815,264.564,Koi_Fish,5.657
1257158248.059,8.705,Blip_Low_Frequency,5.657
1257158478.664,9.776,Fast_Scattering,11.314
1257158907.957,10.808,Tomte,5.657
1257159285.448,34.505,Blip,5.657
1257159686.551,849.167,Extremely_Loud,11.314
1257160911.806,1049.168,Extremely_Loud,5.657
1257160911.806,1049.168,Extremely_Loud,5.657
1257161527.301,10.636,Tomte,5.657
1257162008.774,8.747,Blip,5.657
1257162159.118,607.6,Koi_Fish,5.657
1257162328.887,8.989,Tomte,5.657
1257162552.939,78.743,Koi_Fish,5.657
1257162552.939,78.743,Koi_Fish,5.657
1257162716.051,8.073,Blip_Low_Frequency,5.657
1257162828.879,10.262,Tomte,5.657
1257163424.986,3022.921,Extremely_Loud,5.657
1257164440.592,8.686,Blip_Low_Frequency,5.657
1257164522.738,57.533,Tomte,5.657
1257165135.978,673.588,Koi_Fish,5.657
1257165819.25,197.026,Low_Frequency_Burst,45.255
1257165819.25,197.026,Low_Frequency_Burst,45.255
1257166979.129,803.143,Extremely_Loud,5.657
1257167047.209,1640.258,Extremely_Loud,5.657
1257167755.152,9.301,Blip_Low_Frequency,5.657
1257167761.59,52.858,Tomte,5.657
1257168338.098,8.101,Blip_Low_Frequency,5.657
1257169125.699,12.082,Tomte,5.657
1257169708.22,64.773,Koi_Fish,5.657
1257169989.129,12.498,Tomte,5.657
1257170281.035,12.378,Tomte,5.657
1257170549.045,8.243,Blip_Low_Frequency,5.657
1257170701.508,9.569,Fast_Scattering,11.314
1257171597.781,196.366,Koi_Fish,5.657
1257171785.105,8.162,Blip_Low_Frequency,5.657
1257171785.105,8.162,Blip_Low_Frequency,5.657
1257172182.236,16.645,Tomte,5.657
1257174270.102,11.352,Fast_Scattering,11.314
1257174478.949,353.283,Extremely_Loud,11.314
1257174583.214,3377.201,Extremely_Loud,5.657
1257174870.035,14.108,Tomte,5.657
